week,segment,origin_loc,destination_loc,flow_count,destination_city,origin_city,origin_centroid,destination_centroid
2022-52,1,7,3,1,AFYONKARAHISAR,ANKARA,POINT (33.43507805455542 40.199201955939934),POINT (30.243694963429604 38.74724813828608)
2022-52,1,27,40,1,ISTANBUL,DUZCE,POINT (31.180841601318992 40.81697072735935),POINT (28.966126985906072 41.040226865149044)
2022-52,1,33,42,1,KAHRAMANMARAS,GAZIANTEP,POINT (37.8963594466952 36.85311038836439),POINT (36.55584985318895 38.08131458569416)
2022-52,1,33,68,1,SANLIURFA,GAZIANTEP,POINT (37.8963594466952 36.85311038836439),POINT (39.75759311603928 37.235060462645706)
2022-52,1,40,41,1,IZMIR,ISTANBUL,POINT (28.966126985906072 41.040226865149044),POINT (26.642010615410324 38.30207291826171)
2022-52,1,52,40,1,ISTANBUL,KOCAELI,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2022-52,1,64,42,1,KAHRAMANMARAS,OSMANIYE,POINT (36.118421721446666 37.404147307605996),POINT (36.55584985318895 38.08131458569416)
2022-52,1,68,26,1,DIYARBAKIR,SANLIURFA,POINT (39.75759311603928 37.235060462645706),POINT (39.980783435026474 37.97718871461234)
2022-52,2,1,64,1,OSMANIYE,ADANA,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2022-52,2,33,37,1,HATAY,GAZIANTEP,POINT (37.8963594466952 36.85311038836439),POINT (36.50905200292296 36.28404837457669)
2022-52,2,40,73,1,TEKIRDAG,ISTANBUL,POINT (28.966126985906072 41.040226865149044),POINT (27.71629005242506 41.273565776357366)
2022-52,2,52,5,1,AKSARAY,KOCAELI,POINT (29.745013072029078 40.85994893376326),POINT (33.937132291824796 38.40342884994016)
2022-52,2,52,40,1,ISTANBUL,KOCAELI,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2022-52,2,58,1,1,ADANA,MERSIN,POINT (34.859415559296465 37.06386143110599),POINT (35.82554894766164 37.874874940976625)
2022-52,2,64,1,1,ADANA,OSMANIYE,POINT (36.118421721446666 37.404147307605996),POINT (35.82554894766164 37.874874940976625)
2022-52,2,68,33,1,GAZIANTEP,SANLIURFA,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-01,1,1,37,1,HATAY,ADANA,POINT (35.82554894766164 37.874874940976625),POINT (36.50905200292296 36.28404837457669)
2023-01,1,3,39,1,ISPARTA,AFYONKARAHISAR,POINT (30.243694963429604 38.74724813828608),POINT (31.082856743467623 38.29823384232275)
