,user_loc,fr_loc,scaled_sci,user_city_id,fr_city_id
0,ISTANBUL,ISTANBUL,39928,40,40
1,TEKIRDAG,ISTANBUL,20076,74,40
2,EDIRNE,ISTANBUL,19540,28,40
3,KIRKLARELI,ISTANBUL,19548,50,40
4,BALIKESIR,ISTANBUL,10571,12,40
5,CANAKKALE,ISTANBUL,13256,22,40
6,IZMIR,ISTANBUL,8752,41,40
7,AYDIN,ISTANBUL,7689,11,40
8,DENIZLI,ISTANBUL,6013,25,40
9,MUGLA,ISTANBUL,11928,60,40
10,MANISA,ISTANBUL,6295,57,40
11,AFYONKARAHISAR,ISTANBUL,6897,3,40
12,KUTAHYA,ISTANBUL,6714,55,40
13,USAK,ISTANBUL,5843,78,40
14,BURSA,ISTANBUL,9062,21,40
15,ESKISEHIR,ISTANBUL,7630,32,40
16,BILECIK,ISTANBUL,11158,16,40
17,KOCAELI,ISTANBUL,17271,53,40
18,SAKARYA,ISTANBUL,21452,67,40
19,DUZCE,ISTANBUL,11825,27,40
20,BOLU,ISTANBUL,11143,19,40
21,YALOVA,ISTANBUL,16234,80,40
22,ANKARA,ISTANBUL,8897,7,40
23,KONYA,ISTANBUL,7394,54,40
24,KARAMAN,ISTANBUL,6064,44,40
25,ANTALYA,ISTANBUL,8308,8,40
26,ISPARTA,ISTANBUL,6968,39,40
27,BURDUR,ISTANBUL,5901,20,40
28,ADANA,ISTANBUL,6987,1,40
29,MERSIN,ISTANBUL,7189,59,40
30,HATAY,ISTANBUL,7098,37,40
31,KAHRAMANMARAS,ISTANBUL,6812,42,40
32,OSMANIYE,ISTANBUL,6822,65,40
33,KIRIKKALE,ISTANBUL,7102,49,40
34,AKSARAY,ISTANBUL,7699,5,40
35,NIGDE,ISTANBUL,11723,63,40
36,NEVSEHIR,ISTANBUL,10765,62,40
37,KIRSEHIR,ISTANBUL,6810,51,40
38,KAYSERI,ISTANBUL,7045,47,40
39,SIVAS,ISTANBUL,14112,73,40
40,YOZGAT,ISTANBUL,9653,81,40
41,ZONGULDAK,ISTANBUL,13923,82,40
42,KARABUK,ISTANBUL,13800,43,40
43,BARTIN,ISTANBUL,17491,13,40
44,KASTAMONU,ISTANBUL,23555,46,40
45,CANKIRI,ISTANBUL,13025,23,40
46,SINOP,ISTANBUL,26005,71,40
47,SAMSUN,ISTANBUL,12764,68,40
48,TOKAT,ISTANBUL,20462,75,40
49,CORUM,ISTANBUL,9010,24,40
50,AMASYA,ISTANBUL,15071,6,40
51,TRABZON,ISTANBUL,15497,76,40
52,ORDU,ISTANBUL,20123,64,40
53,GIRESUN,ISTANBUL,21690,34,40
54,RIZE,ISTANBUL,22290,66,40
55,ARTVIN,ISTANBUL,16022,10,40
56,GUMUSHANE,ISTANBUL,18393,35,40
57,ERZURUM,ISTANBUL,12708,31,40
58,ERZINCAN,ISTANBUL,17081,30,40
59,BAYBURT,ISTANBUL,23327,15,40
60,AGRI,ISTANBUL,18113,4,40
61,KARS,ISTANBUL,21522,45,40
62,IGDIR,ISTANBUL,27360,38,40
63,ARDAHAN,ISTANBUL,37992,9,40
64,MALATYA,ISTANBUL,10875,56,40
65,ELAZIG,ISTANBUL,9650,29,40
66,BINGOL,ISTANBUL,15461,17,40
67,TUNCELI,ISTANBUL,22200,77,40
68,VAN,ISTANBUL,12910,79,40
69,MUS,ISTANBUL,18861,61,40
70,BITLIS,ISTANBUL,15953,18,40
71,HAKKARI,ISTANBUL,9038,36,40
72,GAZIANTEP,ISTANBUL,7485,33,40
73,ADIYAMAN,ISTANBUL,11035,2,40
74,KILIS,ISTANBUL,10938,48,40
75,SANLIURFA,ISTANBUL,9292,69,40
76,DIYARBAKIR,ISTANBUL,7731,26,40
77,MARDIN,ISTANBUL,10698,58,40
78,BATMAN,ISTANBUL,9508,14,40
79,SIRNAK,ISTANBUL,7337,72,40
80,SIIRT,ISTANBUL,12534,70,40
81,ISTANBUL,TEKIRDAG,20076,40,74
82,TEKIRDAG,TEKIRDAG,1043609,74,74
83,EDIRNE,TEKIRDAG,160709,28,74
84,KIRKLARELI,TEKIRDAG,208331,50,74
85,BALIKESIR,TEKIRDAG,14856,12,74
86,CANAKKALE,TEKIRDAG,33510,22,74
87,IZMIR,TEKIRDAG,8554,41,74
88,AYDIN,TEKIRDAG,8432,11,74
89,DENIZLI,TEKIRDAG,6471,25,74
90,MUGLA,TEKIRDAG,8870,60,74
91,MANISA,TEKIRDAG,8198,57,74
92,AFYONKARAHISAR,TEKIRDAG,7879,3,74
93,KUTAHYA,TEKIRDAG,7468,55,74
94,USAK,TEKIRDAG,6728,78,74
95,BURSA,TEKIRDAG,10089,21,74
96,ESKISEHIR,TEKIRDAG,9103,32,74
97,BILECIK,TEKIRDAG,10468,16,74
98,KOCAELI,TEKIRDAG,11906,53,74
99,SAKARYA,TEKIRDAG,11027,67,74
100,DUZCE,TEKIRDAG,9602,27,74
101,BOLU,TEKIRDAG,8861,19,74
102,YALOVA,TEKIRDAG,12050,80,74
103,ANKARA,TEKIRDAG,7590,7,74
104,KONYA,TEKIRDAG,7265,54,74
105,KARAMAN,TEKIRDAG,5479,44,74
106,ANTALYA,TEKIRDAG,7152,8,74
107,ISPARTA,TEKIRDAG,7176,39,74
108,BURDUR,TEKIRDAG,6469,20,74
109,ADANA,TEKIRDAG,5427,1,74
110,MERSIN,TEKIRDAG,5651,59,74
111,HATAY,TEKIRDAG,4952,37,74
112,KAHRAMANMARAS,TEKIRDAG,5921,42,74
113,OSMANIYE,TEKIRDAG,7227,65,74
114,KIRIKKALE,TEKIRDAG,11291,49,74
115,AKSARAY,TEKIRDAG,9923,5,74
116,NIGDE,TEKIRDAG,12274,63,74
117,NEVSEHIR,TEKIRDAG,8715,62,74
118,KIRSEHIR,TEKIRDAG,7090,51,74
119,KAYSERI,TEKIRDAG,6179,47,74
120,SIVAS,TEKIRDAG,9428,73,74
121,YOZGAT,TEKIRDAG,10423,81,74
122,ZONGULDAK,TEKIRDAG,20423,82,74
123,KARABUK,TEKIRDAG,13797,43,74
124,BARTIN,TEKIRDAG,20052,13,74
125,KASTAMONU,TEKIRDAG,14891,46,74
126,CANKIRI,TEKIRDAG,7991,23,74
127,SINOP,TEKIRDAG,35025,71,74
128,SAMSUN,TEKIRDAG,18888,68,74
129,TOKAT,TEKIRDAG,26486,75,74
130,CORUM,TEKIRDAG,7593,24,74
